#{"t_start": 1651387311.3162405, "env_id": "cruise-ctrl-v0"}
r,l,t
2.661714,101,195.37113
3.210107,101,195.940259
3.196437,101,196.509921
-8.203242,4,196.532993
1.63246,101,197.110199
-17.880696,10,197.167519
1.662543,101,197.738279
3.617839,101,198.309068
2.568742,101,198.880751
2.484303,101,199.455017
3.2217,101,200.026423
1.780358,101,200.597688
2.129881,101,201.169018
2.60829,101,201.740856
2.678245,101,202.313713
1.901088,101,202.884869
2.672127,101,203.459222
2.156646,101,204.032485
2.017785,101,204.604619
2.380145,101,205.179331
2.617113,101,205.751032
-8.069562,5,205.779837
2.845856,101,206.352342
2.388962,101,206.924132
2.061334,101,207.495986
2.403206,101,208.072093
2.388287,101,208.64411
2.047865,101,209.215149
-7.996406,7,209.255656
2.12149,101,209.82888
2.403797,101,210.40499
2.183958,101,210.978394
-8.935968,4,211.001736
2.061472,101,211.575541
2.049634,101,212.14929
3.077128,101,212.722457
2.098442,101,213.295297
2.11268,101,213.868878
-8.359905,6,213.904009
2.369537,101,214.476861
-7.60135,8,214.523396
2.708304,101,215.098113
1.913299,101,215.670551
2.645675,101,216.246643
1.3815,101,216.819925
3.037389,101,217.393238
3.097684,101,217.966209
2.765813,101,218.539317
2.388323,101,219.11293
2.217288,101,219.684261
1.970477,101,220.255421
2.678763,101,220.828287
2.570634,101,221.404545
1.801465,101,221.983755
3.14812,101,222.555726
2.326213,101,223.125425
2.632388,101,223.696448
1.499747,101,224.269426
2.091721,101,224.840836
2.777335,101,225.410211
3.054698,101,225.979721
1.600428,101,226.549618
3.333772,101,227.119307
1.765015,101,227.693565
2.807827,101,228.263006
2.680372,101,228.834146
1.681222,101,229.403341
1.892854,101,229.973272
1.733314,101,230.544044
1.893506,101,231.114092
3.072077,101,231.684621
2.164802,101,232.255655
2.946543,101,232.824592
-9.102136,4,232.848534
3.124751,101,233.421996
-8.700145,6,233.456333
0.98108,101,234.025631
2.498543,101,234.594831
-7.612643,10,234.652203
1.188938,101,235.225967
1.535473,101,235.795564
2.006437,101,236.36591
2.97889,101,236.941319
2.085811,101,237.510868
2.331258,101,238.081961
1.661925,101,238.655687
