#{"t_start": 1651388775.5917256, "env_id": "cruise-ctrl-v1"}
r,l,t
2.628732,101,2742.015973
2.073177,101,2746.478368
2.40972,101,2750.91993
2.121373,101,2755.353827
1.361866,101,2759.788655
2.106673,101,2764.25665
2.450759,101,2768.690474
2.773467,101,2773.133701
3.277527,101,2777.570408
2.865946,101,2782.033601
-8.373865,7,2782.355522
2.611694,101,2786.825697
-6.529563,9,2787.254607
3.345245,101,2791.684945
2.245457,101,2796.121889
2.243808,101,2800.552203
3.568412,101,2805.01766
1.469611,101,2809.453285
-7.809214,8,2809.84179
1.734684,101,2814.279879
1.542102,101,2818.711167
1.813457,101,2823.177178
2.073985,101,2827.611349
2.721756,101,2832.049191
2.216102,101,2836.476541
1.702983,101,2840.924932
3.057758,101,2845.340541
3.327675,101,2849.77196
1.909837,101,2854.229845
2.674341,101,2858.65188
1.401489,101,2863.060832
-8.338417,7,2863.41543
1.943571,101,2867.835764
2.712821,101,2872.246651
2.409622,101,2876.686303
2.345997,101,2881.099167
2.352782,101,2885.517025
1.447557,101,2889.92813
2.613675,101,2894.371635
1.955481,101,2898.786268
2.988414,101,2903.226683
1.973786,101,2907.691304
1.729274,101,2912.122652
-8.218963,4,2912.31885
2.154665,101,2916.793548
2.40501,101,2921.209134
2.036074,101,2925.625692
-8.573651,6,2925.933724
1.798945,101,2930.351444
2.707959,101,2934.763098
1.971959,101,2939.221935
2.349616,101,2943.66627
2.159831,101,2948.098135
2.411161,101,2952.528483
1.655395,101,2956.98582
-8.783238,5,2957.221463
1.301683,101,2961.646555
2.382262,101,2966.101761
3.144907,101,2970.536683
2.770156,101,2974.978295
2.13347,101,2979.453854
3.029898,101,2983.899762
2.394468,101,2988.35027
2.96266,101,2992.795887
2.531228,101,2997.274369
1.913501,101,3001.722287
1.688745,101,3006.13771
2.440383,101,3010.531003
1.825833,101,3014.960118
1.87969,101,3019.356598
2.642272,101,3023.751093
1.604089,101,3028.184531
2.973075,101,3032.598407
2.389246,101,3037.001966
2.233936,101,3041.408199
2.396064,101,3045.847945
-8.331176,5,3046.083445
1.685399,101,3050.498739
2.959753,101,3054.935817
2.699579,101,3059.344323
1.247939,101,3063.754187
2.85358,101,3068.183496
3.695985,101,3072.597843
2.323867,101,3076.998349
2.237984,101,3081.402855
2.594152,101,3085.837548
2.806276,101,3090.238537
1.719549,101,3094.643698
-8.340251,4,3094.868912
2.220799,101,3099.271625
-17.91325,11,3099.818778
-8.480567,5,3100.082083
2.264835,101,3104.487977
2.698176,101,3108.908484
1.950294,101,3113.339708
2.476018,101,3117.854848
2.054244,101,3122.327667
2.73131,101,3126.827075
1.59173,101,3131.346333
2.405549,101,3135.870621
2.129685,101,3140.38145
1.55703,101,3144.831489
3.288958,101,3149.261453
-8.40661,6,3149.539289
2.011018,101,3153.944795
2.239914,101,3158.363005
2.695746,101,3162.754514
2.52587,101,3167.142697
1.747751,101,3171.569691
2.435181,101,3175.96521
-8.168045,8,3176.374951
2.819605,101,3180.73558
1.506772,101,3185.08565
2.049701,101,3189.439772
2.64063,101,3193.804099
1.84416,101,3198.127085
2.563349,101,3202.452187
-7.532367,7,3202.796294
2.186261,101,3207.114495
3.323978,101,3211.464723
1.688589,101,3215.783049
